Car_Brand,Model,Engine_Type,Fuel_Efficiency,Safety_Rating,Price,Driving_Condition,Temperature,Road_Type,Traffic_Level,Weather_Condition,Engine_Performance,Battery_Range,Braking_Performance,Comfort_Rating,Emissions,Acceleration,Suspension_Performance,Vehicle_Condition,Tire_Condition,Driver_Experience,Performance_Optimization,Scenario_Adaptability
Ford,F-150,Diesel,26,5,74797,Extreme Weather,15,Highway,Low,Clear,455,,193,8,169,5,5,Moderate wear,Worn,Intermediate,Medium,6
BMW,3 Series,Petrol,38,4,68421,Highway,18,Off-road terrain,Medium,Rainy,349,,120,9,219,9,5,Moderate wear,Flat,Novice,Low,2
BMW,X5,Electric,39,4,37400,Extreme Weather,26,Highway,Medium,Rainy,480,,122,7,206,8,9,Poor,Flat,Novice,High,2
Ford,F-150,Diesel,38,5,40914,Urban,12,Highway,Medium,Clear,221,,129,9,202,6,8,Well-maintained,Flat,Intermediate,Medium,10
BMW,X5,Diesel,37,4,49412,Heavy Traffic,24,Off-road terrain,Medium,Clear,400,,153,9,214,8,6,Well-maintained,New,Intermediate,High,5
Ford,Mustang,Petrol,26,4,22663,Heavy Traffic,6,Highway,High,Snowy,305,,181,6,151,9,6,Moderate wear,Flat,Intermediate,High,5
Mercedes,E-Class,Petrol,21,5,51085,Off-Road,9,Highway,High,Rainy,189,,127,9,248,8,9,Moderate wear,New,Expert,Medium,5
Mercedes,E-Class,Petrol,18,4,71660,Heavy Traffic,17,Off-road terrain,Medium,Clear,253,,179,8,202,6,5,Moderate wear,New,Novice,High,5
Hyundai,Kona EV,Petrol,27,4,68353,Extreme Weather,7,Off-road terrain,Medium,Snowy,207,,177,8,191,8,9,Well-maintained,Flat,Novice,High,3
Ford,F-150,Diesel,24,5,28412,Urban,13,Highway,High,Snowy,153,,194,7,229,8,5,Poor,Worn,Novice,Low,9
Mercedes,E-Class,Electric,27,5,28417,Highway,8,City streets,Low,Snowy,356,,127,7,229,8,8,Well-maintained,Worn,Intermediate,High,7
Ford,F-150,Electric,20,4,68885,Off-Road,33,Highway,Low,Snowy,299,,103,6,208,5,8,Poor,Flat,Intermediate,High,8
Hyundai,Sonata,Diesel,27,4,41168,Off-Road,20,City streets,High,Snowy,176,,167,9,262,6,5,Moderate wear,Flat,Novice,Low,5
BMW,X5,Diesel,30,4,64980,Extreme Weather,14,Off-road terrain,High,Snowy,314,,120,8,294,6,9,Well-maintained,Flat,Intermediate,High,2
Hyundai,Kona EV,Petrol,16,5,48408,Extreme Weather,-2,Off-road terrain,Medium,Snowy,474,,154,7,191,5,9,Poor,New,Intermediate,Medium,10
Hyundai,Sonata,Petrol,35,5,75899,Extreme Weather,33,Highway,Low,Snowy,198,,108,6,218,6,5,Moderate wear,Flat,Novice,Medium,3
BMW,3 Series,Diesel,18,5,69597,Urban,23,Off-road terrain,Low,Clear,257,,109,8,155,5,5,Poor,Worn,Expert,High,8
Hyundai,Sonata,Diesel,20,4,64548,Extreme Weather,15,Highway,High,Rainy,206,,192,8,277,5,5,Well-maintained,Flat,Intermediate,High,3
Toyota,Camry,Electric,35,4,73228,Off-Road,14,City streets,Medium,Clear,333,,154,9,264,9,9,Well-maintained,Flat,Novice,High,2
Tesla,Model S,Electric,18,5,45616,Highway,21,Off-road terrain,Medium,Rainy,168,,116,6,266,7,5,Poor,New,Intermediate,High,5
Hyundai,Kona EV,Petrol,24,5,70839,Extreme Weather,8,City streets,Medium,Clear,206,,182,9,166,7,7,Poor,New,Novice,Low,9
BMW,3 Series,Electric,31,5,76530,Extreme Weather,6,City streets,Low,Clear,258,,100,7,196,7,7,Moderate wear,Flat,Intermediate,Medium,2
Tesla,Model S,Diesel,21,4,47445,Urban,25,Highway,Medium,Clear,187,,158,8,286,7,5,Moderate wear,Flat,Expert,Low,2
Mercedes,GLE,Electric,28,4,34744,Extreme Weather,22,Highway,High,Rainy,299,,130,8,197,8,9,Moderate wear,Flat,Expert,High,1
Toyota,Corolla,Petrol,16,4,47433,Extreme Weather,32,Off-road terrain,Medium,Rainy,223,,178,7,257,6,5,Poor,Worn,Novice,Low,3
BMW,X5,Diesel,20,5,32601,Highway,28,Off-road terrain,Medium,Rainy,327,,131,8,152,6,7,Poor,New,Novice,High,7
Mercedes,GLE,Electric,24,5,57939,Highway,0,Off-road terrain,Low,Rainy,368,,176,8,170,8,7,Poor,Flat,Novice,High,8
Hyundai,Sonata,Petrol,31,4,20845,Extreme Weather,7,Off-road terrain,Medium,Clear,381,,198,6,151,5,9,Moderate wear,Flat,Expert,Medium,6
Tesla,Model S,Diesel,23,4,34419,Off-Road,33,Off-road terrain,Low,Snowy,462,,152,6,161,9,6,Well-maintained,New,Intermediate,High,3
Tesla,Model 3,Electric,25,5,46505,Heavy Traffic,28,Off-road terrain,High,Rainy,386,,170,6,215,5,8,Well-maintained,Worn,Intermediate,High,7
Toyota,Corolla,Petrol,36,5,73997,Off-Road,0,Highway,Medium,Rainy,489,,188,8,262,9,9,Well-maintained,New,Intermediate,Medium,5
Ford,Mustang,Diesel,30,5,78175,Heavy Traffic,4,Off-road terrain,Medium,Clear,449,,181,8,165,7,6,Moderate wear,Worn,Novice,High,5
BMW,X5,Electric,35,5,77241,Heavy Traffic,1,Highway,High,Clear,336,,137,6,202,6,7,Well-maintained,New,Intermediate,High,10
Tesla,Model S,Electric,25,4,32316,Extreme Weather,5,City streets,Medium,Rainy,170,,138,8,251,6,7,Poor,Flat,Intermediate,Low,1
Tesla,Model S,Petrol,33,5,76805,Extreme Weather,14,Off-road terrain,High,Snowy,359,,163,7,218,5,6,Moderate wear,Worn,Novice,Low,10
Ford,Mustang,Petrol,28,5,35173,Extreme Weather,-3,Highway,Low,Rainy,367,,160,6,239,8,6,Well-maintained,Worn,Expert,Low,1
Mercedes,E-Class,Electric,20,4,28399,Extreme Weather,15,Highway,Medium,Snowy,239,,157,7,251,5,7,Well-maintained,New,Expert,Medium,5
Tesla,Model 3,Diesel,24,5,69756,Heavy Traffic,3,Off-road terrain,Medium,Rainy,434,,179,9,233,9,9,Moderate wear,Flat,Expert,High,8
Mercedes,GLE,Electric,38,5,30464,Extreme Weather,3,City streets,High,Rainy,239,,128,8,198,7,8,Poor,New,Novice,Medium,7
Ford,Mustang,Diesel,15,4,30776,Urban,3,City streets,High,Snowy,236,,173,7,274,7,9,Moderate wear,Worn,Novice,Medium,10
Ford,Mustang,Petrol,31,5,41015,Highway,14,City streets,Low,Rainy,400,,100,6,265,9,5,Poor,Flat,Intermediate,Low,8
Hyundai,Kona EV,Diesel,31,5,79927,Extreme Weather,4,Off-road terrain,High,Clear,392,,153,8,293,5,6,Poor,New,Expert,Medium,3
BMW,X5,Petrol,24,5,74225,Heavy Traffic,28,Off-road terrain,Low,Snowy,327,,186,8,208,7,8,Poor,New,Intermediate,High,5
Ford,F-150,Petrol,30,4,25147,Extreme Weather,7,City streets,High,Rainy,435,,153,9,229,6,7,Well-maintained,New,Expert,Medium,8
Tesla,Model S,Petrol,32,4,46691,Extreme Weather,30,City streets,Medium,Clear,318,,117,7,215,9,8,Poor,Flat,Expert,High,6
Ford,F-150,Electric,28,5,26093,Urban,31,Highway,Medium,Snowy,208,,196,8,252,6,7,Moderate wear,Flat,Novice,Low,5
Ford,Mustang,Electric,24,5,57899,Extreme Weather,29,City streets,Low,Clear,181,,173,8,230,9,9,Moderate wear,New,Novice,High,4
BMW,3 Series,Petrol,29,4,41400,Urban,9,Highway,Medium,Rainy,498,,103,7,224,7,7,Moderate wear,Worn,Intermediate,Medium,10
Ford,Mustang,Petrol,15,4,77804,Extreme Weather,-2,Off-road terrain,Medium,Rainy,241,,151,6,157,8,6,Well-maintained,Worn,Novice,Low,9
Ford,Mustang,Electric,23,4,45628,Urban,-3,Highway,Low,Rainy,211,,102,7,217,5,7,Well-maintained,Flat,Expert,Low,7
Toyota,Camry,Petrol,28,4,36363,Heavy Traffic,-4,Highway,Low,Rainy,218,,157,7,193,6,7,Poor,New,Intermediate,High,7
Hyundai,Kona EV,Electric,25,4,74469,Off-Road,6,City streets,Medium,Clear,295,,184,9,253,8,8,Moderate wear,New,Expert,Medium,2
Tesla,Model S,Diesel,19,5,78696,Heavy Traffic,14,City streets,High,Rainy,480,,178,9,221,7,7,Moderate wear,Flat,Intermediate,Low,2
Ford,F-150,Petrol,21,5,67058,Extreme Weather,27,Off-road terrain,High,Clear,175,,195,9,221,9,6,Well-maintained,New,Novice,Medium,5
Hyundai,Sonata,Electric,30,5,21770,Heavy Traffic,12,Highway,Low,Clear,354,,138,6,279,5,6,Moderate wear,Worn,Intermediate,Low,9
BMW,3 Series,Diesel,26,4,34485,Urban,0,Highway,High,Snowy,248,,113,7,200,6,5,Well-maintained,New,Novice,Medium,5
Tesla,Model S,Petrol,17,4,33362,Extreme Weather,28,Off-road terrain,Medium,Rainy,269,,158,7,296,7,6,Poor,New,Novice,Low,9
Hyundai,Kona EV,Electric,30,4,77676,Heavy Traffic,-4,City streets,Low,Clear,173,,198,7,249,7,6,Moderate wear,New,Expert,Medium,10
Toyota,Corolla,Electric,33,4,70390,Highway,-4,Highway,High,Clear,381,,125,6,227,5,5,Well-maintained,Flat,Intermediate,Medium,2
Toyota,Camry,Petrol,31,5,60297,Heavy Traffic,0,Off-road terrain,Low,Clear,276,,139,7,280,8,8,Moderate wear,Worn,Intermediate,Low,5
Toyota,Corolla,Electric,28,4,56766,Off-Road,27,Off-road terrain,Medium,Clear,314,,191,9,180,7,5,Moderate wear,New,Expert,Low,2
Mercedes,E-Class,Petrol,16,5,49715,Highway,32,Highway,Low,Clear,270,,131,7,216,5,5,Poor,New,Novice,Low,9
Toyota,Corolla,Petrol,36,4,68998,Off-Road,7,City streets,High,Rainy,458,,183,8,218,5,6,Moderate wear,New,Novice,Medium,7
Toyota,Camry,Diesel,29,4,30929,Extreme Weather,7,Off-road terrain,Medium,Clear,441,,162,6,223,6,5,Moderate wear,Flat,Intermediate,High,7
Tesla,Model 3,Petrol,39,5,51501,Highway,9,City streets,Low,Rainy,426,,116,8,206,7,5,Moderate wear,Worn,Novice,Medium,3
Mercedes,E-Class,Electric,15,5,27910,Heavy Traffic,34,Highway,Low,Rainy,338,,153,6,168,7,7,Well-maintained,Worn,Novice,Medium,10
Mercedes,E-Class,Petrol,30,4,53798,Off-Road,10,Off-road terrain,Medium,Rainy,161,,134,6,170,6,7,Well-maintained,New,Intermediate,Low,4
Toyota,Camry,Petrol,37,5,46579,Urban,0,Off-road terrain,Low,Clear,406,,169,6,175,5,6,Moderate wear,Flat,Intermediate,Low,10
Tesla,Model S,Petrol,36,4,64451,Heavy Traffic,18,City streets,High,Rainy,496,,124,8,181,8,6,Moderate wear,Worn,Novice,Medium,9
BMW,X5,Diesel,25,5,57789,Extreme Weather,22,Off-road terrain,High,Rainy,436,,148,9,249,7,8,Poor,Flat,Expert,High,5
Mercedes,GLE,Diesel,20,5,79635,Off-Road,-2,Highway,Medium,Rainy,428,,158,7,264,7,8,Moderate wear,Flat,Novice,Low,5
Ford,F-150,Diesel,26,5,29096,Highway,29,Off-road terrain,High,Rainy,472,,152,8,227,8,7,Poor,New,Novice,Medium,3
Hyundai,Sonata,Electric,39,5,62243,Extreme Weather,22,Highway,Low,Rainy,250,,120,7,295,5,7,Well-maintained,New,Expert,Low,2
Hyundai,Kona EV,Diesel,28,5,44982,Off-Road,23,City streets,High,Clear,307,,180,9,219,7,7,Moderate wear,New,Intermediate,Medium,8
Tesla,Model 3,Petrol,16,4,64007,Urban,1,Off-road terrain,Low,Rainy,383,,134,9,242,6,8,Poor,Worn,Intermediate,Medium,8
Ford,Mustang,Electric,29,5,53760,Heavy Traffic,28,Highway,High,Clear,431,,156,6,156,8,8,Poor,Worn,Novice,Medium,6
BMW,3 Series,Electric,24,4,53988,Highway,-3,Off-road terrain,High,Clear,399,,119,8,273,7,7,Poor,Flat,Expert,High,7
Hyundai,Kona EV,Diesel,24,4,62098,Highway,12,City streets,Low,Snowy,430,,177,9,174,7,7,Moderate wear,Flat,Expert,Low,5
Tesla,Model S,Electric,26,5,58756,Urban,12,Off-road terrain,Medium,Rainy,459,,105,8,272,6,5,Poor,Worn,Novice,High,10
Ford,Mustang,Petrol,15,4,70411,Heavy Traffic,34,City streets,High,Rainy,384,,132,7,189,9,5,Moderate wear,New,Intermediate,Medium,9
Tesla,Model 3,Diesel,36,5,74011,Heavy Traffic,18,Highway,Medium,Rainy,288,,147,9,188,7,7,Well-maintained,Worn,Intermediate,Medium,5
Tesla,Model 3,Electric,15,5,56526,Highway,10,City streets,Low,Snowy,262,,192,6,298,6,9,Well-maintained,Worn,Intermediate,Low,9
Mercedes,E-Class,Electric,17,4,64553,Extreme Weather,3,City streets,Low,Clear,161,,109,6,160,8,9,Moderate wear,Worn,Expert,High,8
Hyundai,Kona EV,Electric,18,4,25534,Heavy Traffic,32,Off-road terrain,High,Rainy,457,,179,8,171,9,7,Well-maintained,Worn,Novice,Low,7
BMW,X5,Electric,16,4,40719,Off-Road,20,City streets,Low,Snowy,482,,154,8,185,5,8,Well-maintained,Worn,Novice,Low,2
BMW,3 Series,Electric,23,5,37952,Off-Road,14,Highway,Low,Snowy,172,,171,9,261,7,5,Well-maintained,Flat,Novice,High,5
Ford,F-150,Electric,17,5,77442,Heavy Traffic,33,Off-road terrain,Medium,Clear,211,,138,6,268,6,5,Poor,New,Intermediate,High,10
BMW,3 Series,Diesel,30,4,63642,Off-Road,23,Highway,Low,Snowy,168,,107,7,187,9,9,Well-maintained,Worn,Expert,Low,1
Toyota,Corolla,Electric,34,5,36607,Highway,0,Highway,High,Clear,312,,197,7,211,9,6,Well-maintained,Worn,Intermediate,Medium,10
Toyota,Camry,Electric,30,5,71990,Heavy Traffic,3,Highway,High,Rainy,195,,121,9,157,7,8,Poor,Worn,Expert,High,2
Ford,F-150,Electric,36,4,25153,Urban,1,Highway,Low,Snowy,467,,122,7,205,5,9,Poor,Flat,Intermediate,Medium,1
BMW,3 Series,Petrol,31,5,35187,Extreme Weather,12,City streets,High,Rainy,377,,162,8,287,7,7,Well-maintained,Worn,Expert,Medium,4
Mercedes,E-Class,Electric,30,4,30420,Extreme Weather,13,Off-road terrain,Medium,Clear,349,,117,9,188,5,5,Well-maintained,Worn,Expert,Medium,7
Toyota,Corolla,Petrol,31,4,45112,Extreme Weather,1,Off-road terrain,Medium,Clear,242,,193,8,271,7,5,Poor,Flat,Novice,High,7
Tesla,Model 3,Petrol,27,4,62438,Heavy Traffic,5,Off-road terrain,Low,Snowy,180,,101,8,164,5,7,Moderate wear,Flat,Expert,High,2
Mercedes,GLE,Petrol,22,4,42139,Heavy Traffic,13,Off-road terrain,Medium,Clear,226,,165,6,210,6,5,Poor,Flat,Intermediate,Low,7
Ford,F-150,Diesel,23,5,73412,Extreme Weather,22,Highway,High,Rainy,302,,196,8,264,6,6,Poor,New,Novice,High,5
BMW,X5,Diesel,28,4,61758,Extreme Weather,21,City streets,High,Snowy,242,,135,6,202,5,9,Well-maintained,Worn,Expert,Medium,5
BMW,3 Series,Petrol,21,5,56854,Extreme Weather,19,Highway,High,Clear,310,,113,9,230,9,8,Well-maintained,Flat,Novice,Low,1
Ford,F-150,Diesel,19,4,26256,Extreme Weather,21,City streets,Low,Rainy,367,,176,8,270,7,7,Poor,New,Intermediate,Low,1
Toyota,Corolla,Electric,20,5,41217,Urban,4,Highway,High,Snowy,365,,175,8,268,7,6,Well-maintained,New,Novice,Medium,1
Hyundai,Kona EV,Petrol,20,4,64999,Urban,18,Highway,Low,Clear,395,,198,7,209,8,6,Moderate wear,Flat,Intermediate,Medium,7
Tesla,Model 3,Petrol,37,4,31688,Extreme Weather,18,City streets,High,Snowy,402,,109,9,279,7,7,Poor,Worn,Expert,Low,4
BMW,3 Series,Diesel,22,5,40369,Urban,12,City streets,Medium,Rainy,233,,197,8,220,6,9,Poor,New,Intermediate,High,3
Ford,F-150,Electric,15,4,51115,Extreme Weather,16,Highway,Low,Clear,429,,113,9,173,8,9,Well-maintained,Worn,Intermediate,Medium,6
Hyundai,Sonata,Electric,36,5,54332,Urban,31,City streets,Medium,Snowy,444,,141,9,178,7,7,Moderate wear,Flat,Intermediate,Medium,10
Hyundai,Kona EV,Electric,38,4,72476,Highway,-4,City streets,Medium,Rainy,380,,170,9,240,5,6,Moderate wear,New,Novice,High,4
Mercedes,E-Class,Petrol,21,4,50869,Extreme Weather,12,Highway,High,Clear,350,,105,8,197,9,5,Poor,New,Expert,Low,6
Mercedes,E-Class,Diesel,29,5,28572,Urban,27,Highway,Medium,Rainy,169,,159,7,256,5,6,Well-maintained,New,Novice,High,2
Mercedes,E-Class,Diesel,24,5,71739,Highway,29,City streets,High,Clear,470,,141,6,286,8,7,Well-maintained,New,Novice,Medium,6
Toyota,Corolla,Electric,31,4,36246,Extreme Weather,28,Off-road terrain,Low,Clear,374,,150,9,219,9,6,Well-maintained,Worn,Novice,Medium,4
BMW,X5,Diesel,24,4,65771,Highway,10,Off-road terrain,Medium,Clear,250,,128,8,231,6,6,Poor,Worn,Novice,Low,5
Toyota,Corolla,Diesel,24,5,49217,Extreme Weather,27,Highway,High,Clear,331,,183,6,226,5,9,Poor,New,Expert,Low,1
Toyota,Camry,Electric,23,4,63106,Heavy Traffic,25,City streets,High,Rainy,159,,107,6,208,6,9,Moderate wear,Worn,Expert,High,4
Toyota,Camry,Diesel,16,5,50984,Heavy Traffic,16,Off-road terrain,Medium,Clear,192,,173,7,171,6,6,Moderate wear,Worn,Intermediate,High,5
Ford,F-150,Diesel,35,4,79538,Heavy Traffic,32,Off-road terrain,High,Rainy,448,,119,9,170,6,5,Moderate wear,Worn,Intermediate,Medium,9
Hyundai,Sonata,Petrol,31,4,47331,Highway,20,Off-road terrain,High,Snowy,424,,150,6,219,9,7,Moderate wear,New,Expert,Low,10
Hyundai,Sonata,Diesel,39,5,60931,Off-Road,17,Off-road terrain,Low,Snowy,471,,165,9,222,8,9,Poor,New,Novice,Low,5
Hyundai,Kona EV,Diesel,23,4,39381,Off-Road,34,Highway,Low,Clear,342,,173,8,281,7,6,Poor,Flat,Intermediate,Medium,1
Tesla,Model 3,Petrol,16,5,74545,Off-Road,14,Off-road terrain,Medium,Clear,459,,130,7,253,6,6,Moderate wear,Worn,Novice,Low,3
BMW,3 Series,Electric,23,5,40707,Off-Road,11,Highway,High,Snowy,339,,193,6,288,8,7,Well-maintained,Flat,Intermediate,Low,4
BMW,X5,Electric,27,4,29967,Extreme Weather,21,City streets,High,Rainy,222,,103,9,222,9,6,Moderate wear,Worn,Novice,Low,10
Tesla,Model 3,Petrol,36,4,79931,Off-Road,-4,Highway,Medium,Clear,354,,157,6,291,9,8,Poor,New,Novice,Medium,2
Toyota,Camry,Petrol,31,4,51759,Off-Road,8,Off-road terrain,Low,Snowy,212,,161,8,198,7,5,Moderate wear,Flat,Expert,Medium,7
Hyundai,Kona EV,Diesel,36,5,41774,Urban,32,Highway,Low,Clear,224,,128,8,201,5,7,Moderate wear,Worn,Novice,High,9
Ford,F-150,Petrol,17,4,53039,Heavy Traffic,9,City streets,Medium,Snowy,251,,153,7,185,6,5,Moderate wear,Flat,Intermediate,High,7
Toyota,Corolla,Electric,29,5,54898,Urban,23,Off-road terrain,High,Snowy,225,,129,9,280,5,6,Well-maintained,Flat,Intermediate,Medium,7
Tesla,Model S,Electric,32,4,27219,Urban,11,Highway,Low,Clear,340,,150,6,290,9,7,Moderate wear,New,Expert,High,10
BMW,3 Series,Electric,34,4,77745,Urban,24,City streets,High,Clear,174,,111,6,174,7,5,Moderate wear,Worn,Intermediate,Low,9
Tesla,Model 3,Petrol,17,5,30055,Urban,-1,City streets,Low,Rainy,296,,122,6,267,6,5,Moderate wear,Worn,Intermediate,High,10
Ford,F-150,Diesel,16,5,41686,Highway,9,Off-road terrain,Medium,Snowy,432,,173,8,221,8,8,Moderate wear,Flat,Novice,Medium,1
BMW,3 Series,Diesel,16,5,51958,Urban,26,Off-road terrain,Low,Clear,301,,187,8,164,6,5,Poor,New,Novice,High,10
Mercedes,GLE,Electric,26,5,58640,Heavy Traffic,0,City streets,Medium,Rainy,479,,153,9,228,6,5,Moderate wear,Worn,Novice,Low,5
